iter	Passed	Remaining
1478	1428430	20281
1479	1429290	19314
1480	1430282	18349
1481	1431206	17383
1482	1432150	16417
1483	1433116	15451
1484	1434045	14485
1485	1434947	13519
1486	1435882	12553
1487	1436824	11587
1488	1437798	10621
1489	1438860	9656
1490	1439776	8690
1491	1440844	7725
1492	1441765	6759
1493	1442720	5794
1494	1443644	4828
1495	1444679	3862
1496	1445613	2897
1497	1446655	1931
1498	1447561	965
1499	1448502	0
